,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
FBM UN Equity,4.556,4.556,4.556,4.556,4.556,4.333,4.333,4.333,4.2,4.333,4.25,4.556
FBMS UQ Equity,4.333,4.333,5,5,5,5,5,5,5,5,4.333,4.5
FBNC UW Equity,4.333,4.429,4.429,4.25,4.25,4.25,3.75,3.571,4.143,4.333,4.333,4.333
FBP UN Equity,4.2,4.2,4.2,4.6,4.6,4.6,5,5,5,5,5,5
FC UN Equity,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
FCAP UR Equity,#N/A N/A,,,,,,,,,,,
FCBC UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3,3,3
FCBP UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
FCCY UQ Equity,3,3,3,3,3,3,3,3,3,4.333,4.333,4.333
FCF UN Equity,3,3,3.4,3.4,3.4,3.4,3.286,3.857,3.667,3.667,3.667,3.857
FCFS UW Equity,4.125,4.125,4.167,4.167,4.167,3.5,3.714,3.714,3.714,3.714,3.429,3.286
FCN UN Equity,3,3,3,3,3,3,3.667,3.667,3.667,3.667,4.333,4.333
FCNCA UW Equity,#N/A N/A,,,,,,,,,,,
FCPT UN Equity,3.5,3.5,4,4,4,4,3.5,3.8,3.8,3.571,3.857,3.75
FCX UN Equity,3.24,3.273,3.24,3.24,3.308,3.417,3.609,3.417,3.583,3.522,3.783,4.091
FDBC UQ Equity,#N/A N/A,,,,,,,,,,,
FDEF UW Equity,3,3,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,4,4
FDP UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
FDS UN Equity,2.647,2.765,2.875,2.667,2.529,2.5,2.5,2.667,2.667,2.556,2.176,2.222
FDX UN Equity,4.519,4.483,4.414,4.433,4.633,4.633,4.581,4.581,4.333,4.267,3.933,3.8
FE UN Equity,3.476,3.5,3.632,3.889,4.158,4.444,4.368,4.368,4.444,4.474,4.222,4.059
FELE UW Equity,3.571,3.571,3.286,3.286,3.333,3.4,3.4,3.4,3.4,3,3,3
FET UN Equity,3.9,3.9,3.632,3.526,3.706,3.8,3.813,3.882,3.938,3.867,3.6,3.5
FEYE UW Equity,3.533,3.533,3.69,3.759,3.862,3.893,3.926,3.852,3.857,3.846,3.88,3.923
FF UN Equity,#N/A N/A,,,,,,,,,,,
FFBC UW Equity,3,3,3.4,3.4,3.8,3.222,3.444,3.444,3,3.5,3.286,3
FFG UN Equity,2,2,3,3,3,3,3,3,3,3,1,3
FFIC UW Equity,3.4,3.8,3.8,3.4,3.8,4.2,4.2,4.2,4.2,4.2,4,4
FFIN UW Equity,2.333,2.667,2.667,2.667,2.667,2.667,2.667,2.714,2.714,2.714,2.714,2.667
FFIV UW Equity,3.387,3.333,3.16,3.167,3.261,3.25,3.273,3.182,3.19,3.286,3.545,3.381
FFNW UW Equity,3,3,3,3,3.5,3.5,3,3,3,3,3.5,3.5
FFWM UQ Equity,4.5,4.6,4.6,4.6,4.6,4.6,4.2,4.2,4.2,4.2,4.2,4.5
FG UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,3,4.333,4,4.2,3.857,3.857,3.857,3.857,3.571
FGBI UQ Equity,5,5,3,3,3,3,3,3,3,3,3,3
FGEN UW Equity,5,5,4.667,4.429,4.429,4.667,4.333,4.667,4.714,4.25,4.25,4.25
FHB UW Equity,3.4,3.6,3.6,3.667,3.4,3.8,3.8,3.8,3.8,3.667,3.25,3.222
FHI UN Equity,2.75,2.556,2.556,2.4,2.4,2.6,2.8,3,3,3,3.2,3
FHN UN Equity,3.556,3.688,3.824,3.722,4,4.368,4.263,4.263,3.947,3.778,4.111,4.308
FI UN Equity,2.611,2.421,2.526,2.45,2.882,2.733,2.692,2.846,2.833,3,3.2,3.444
FIBK UW Equity,3.667,4.143,4.143,4.143,4.143,4.429,4.429,4.5,4.556,4.25,4.25,4.143
FICO UN Equity,3.8,3.8,3.8,3.8,3.8,4,4,4.5,4.5,4.5,4.5,4.333
FIS UN Equity,4.692,4.6,4.52,4.417,4.455,4.333,4.333,4.429,4.3,4.4,4.552,4.433
FISI UW Equity,4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.5,4.333
FISV UW Equity,3.444,3.4,3.48,3.56,3.667,3.696,3.522,3.783,4.273,4.385,4.533,4.455
FIT UN Equity,3.095,3.222,3.25,3,3.154,3,3,3.364,3.364,3.364,3.2,3
FITB UW Equity,3.031,3.097,3.097,2.9,2.897,3.036,3.179,3.48,3.615,3.741,3.692,3.808
FIVE UW Equity,4.375,4.188,4.063,4,4.105,4.25,4,4.368,4.333,4.364,4.364,4.391
FIVN UQ Equity,4.4,4.273,4.273,4.4,4.091,4.091,4,3.714,3.8,3.933,4.125,4.125
FIX UN Equity,4.2,4.333,4.333,3.8,3.8,3.4,3.4,3.5,3.5,3.5,4,4
FIXX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.6,5,5,5,5,4.714
FIZZ UW Equity,5,2,2.333,2,2.5,3.333,2.75,2.8,2,2.6,2.5,2.5
FL UN Equity,4.348,4.286,3.619,3.55,3.955,3.913,3.826,3.826,4,3.95,3.8,3.864
FLDM UW Equity,3.667,3.667,3,3,3,3,3,3.667,4.2,4.2,4.2,4.2
FLIC UR Equity,4,4,4,3.5,3.5,3,3,3,3,3,3,3
FLIR UW Equity,3.889,3.889,4.2,4.2,4.455,4.273,4.4,4.333,4.556,4.778,4.8,4.6
FLMN UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,4.778,4.75,4.6
FLNT UQ Equity,5,5,5,5,4.75,4.75,4.75,4.75,4.333,5,5,4
FLO UN Equity,4.091,4,3.75,4,4.111,3.75,3.25,2.667,2.667,2.6,3.333,3.286
FLOW UN Equity,3.6,3.6,3.636,3.778,3.5,3.444,3.6,3.6,3.4,3.4,3.2,3.222
FLR UN Equity,3.526,3.778,3.5,3.5,3.75,3.533,3.8,4.067,4.067,3.769,3.615,3.615
FLS UN Equity,3.5,3.6,3.55,3.053,3.167,3.125,3.235,3.118,3.118,3,3.286,3
FLT UN Equity,4.765,4.875,4.875,4.875,4.867,4.857,4.857,4.846,4.529,4.556,4.3,4.2
FLWS UW Equity,5,4.714,4.714,4.333,4,3.667,3.667,4,4.333,4.667,4.667,4.667
FLXN UQ Equity,5,5,5,5,5,5,5,5,4.778,5,5,5
FLXS UW Equity,#N/A N/A,,,,,,,,,,,
FMAO UR Equity,3,3,3,3,3,3,3,3,3,3,3,3
FMBH UQ Equity,4,3.667,3.667,3.667,4.333,4.5,4.6,4.6,4.6,4.333,4.333,4.333
FMBI UW Equity,3.6,3.8,3.8,3.8,4.111,3.889,3.889,3.889,3.5,3.75,3.75,4.333
FMC UN Equity,3.667,3.864,4.087,4,4.261,4.522,4.353,4.522,4.346,4.222,4.346,4.522
FMNB UR Equity,3.667,3.667,3.667,3,3.667,3.667,3.667,4,4,4,4,4
FN UN Equity,5,5,5,4.667,5,4.5,4,4.333,4.333,4.2,4.429,4.429
FNB UN Equity,4,4.273,4.636,4.5,4.5,4.455,4.455,4.455,4.6,4.556,4.556,4.75
FNCB UR Equity,#N/A N/A,,,,,,,,,,,
FND UN Equity,#N/A N/A,3.6,3.769,4.125,4.188,4.133,4.235,4.389,4.25,3.95,3.955,3.955
FNF UN Equity,4.667,4.6,4.333,4.333,4.6,4.6,5,5,5,4.571,4.857,4.5
FNHC UQ Equity,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333
FNKO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.75,4.75,4.5,4.5,4.5,4.556,4.556,4.556
FNLC UW Equity,#N/A N/A,,,,,,,,,,,
FNWB UQ Equity,#N/A N/A,,,,,,,,,,,
FOCS UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.857,3.857,3.75,3.889,4.111,4.2
FOE UN Equity,4.5,4.714,4.714,4.714,4.75,4.75,4.714,4.714,4.75,4.25,3.857,3.857
FOLD UQ Equity,4.714,5,5,4.714,4.714,4.714,4.429,4.333,4.6,4.667,4.667,4.667
FOR UN Equity,4.333,3.667,4,4,3,3,3,3,4,4.5,4.6,4.5
FORM UW Equity,4.667,4.714,4.714,4.714,4.714,4.75,4.714,4.429,4.333,4.143,4.143,3.857
FORR UW Equity,3.667,3.667,3.667,3.667,3.667,3,3,3,3.667,3.667,4,4
FOSL UW Equity,2.385,2.636,2.6,2.6,2.333,2.714,2.6,2.6,2.6,2.6,2.5,2.333
FOX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.667,5,5,5
FOXA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.105,4,3.63,3.63
FOXF UW Equity,4.125,3.625,3.375,3.125,3.375,3.625,3.778,3.556,3.556,3.7,3.556,3.556
FPI UN Equity,4.6,4.6,3.8,3.8,3,3,4,3.5,3.5,3.5,3.5,3.5
FPRX UW Equity,4.778,4.75,4.778,5,5,4.2,4.273,4.273,4.4,4.167,4,4.091
FR UN Equity,3.75,3.857,3.857,4,3.889,4.111,3.889,4.111,3.889,3.909,3.909,3.6
FRAF UR Equity,#N/A N/A,,,,,,,,,,,
FRBA UQ Equity,3,4,4,5,5,5,5,5,5,5,5,5
FRBK UQ Equity,3,3,3,3,3,3,3,3,3,3,3,3
FRC UN Equity,3.739,3.826,3.773,3.619,3.727,3.783,3.783,3.783,3.609,3.583,3.522,3.455
FREQ UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5
FRGI UW Equity,3.857,3.667,3.4,3.4,3.4,3.5,3.5,4,3.667,3.667,3.667,3.667
FRME UW Equity,4,4,4,4,4,4,3.667,4,4,4,4.25,4.333
FRPH UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
FRPT UQ Equity,3.889,4.25,4.111,4,4,4,4,4,4.2,4.091,3.909,4.167
FRT UN Equity,3.778,3.824,3.778,3.947,4.053,4.176,4.176,4.222,4,4.222,4.444,4.333
FRTA UW Equity,4.25,3.667,3.25,3.25,3,3,3,3,3,2.667,3.4,3.4
FSB UN Equity,4.6,4.6,3.857,3.571,3.286,3,3.333,3.333,3.667,3.667,3.667,3.4
FSBW UR Equity,#N/A N/A,5,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333
FSCT UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.333,4.5,4.6,4.833,4.833,4.833,4.667,4.333
FSLR UW Equity,3.217,3.65,3.895,3.944,3.684,3.5,3.412,4,4.111,4.111,4.25,4.188
FSP UA Equity,3.4,3,3.5,3.8,2.6,3,3,3.8,3.8,3.8,3.8,3.8
FSS UN Equity,4,4.667,4.667,4.667,4.25,4.25,3.75,3.75,3.75,3.75,3.75,3.75
FSTR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
FTDR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.5,4.889,4.769,4.5,4.455
FTK UN Equity,4.5,4.5,4.5,4.5,4.5,4.5,3.5,3.5,3.5,3.5,4,4
FTNT UW Equity,4.296,4.367,4.233,4.233,3.931,3.767,3.607,3.667,3.419,3.467,3.571,3.786
FTR UW Equity,3.5,3.25,3.125,2.647,2.412,2.333,2.333,2.231,1.833,1.727,1.727,1.444
FTSI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.6,4.333,4.538,3.923,3.923,3.308,3.154
FTSV UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
FTV UN Equity,3.9,3.737,3.667,3.842,3.889,4.059,4,4.053,3.947,3.667,3.556,3.632
FUL UN Equity,3.571,3.571,3.5,3.25,4.25,4.25,4.25,4.4,4.2,4,3.889,3.75
FULC UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
FULT UW Equity,2.778,2.75,2.778,2.778,2.8,2.8,3,3.4,3.2,3,3,3
FVCB UR Equity,5,5,5,5,5,5,5,4.333,4.333,4.333,4.333,4.333
FWONA UW Equity,4,3.8,4.111,4.333,4.333,4.333,4.333,4.333,3.889,4,3.889,3.75
FWONK UW Equity,4,3.667,4,4.2,4.6,4.5,4.6,4.429,3.889,4.2,4.4,4.111
FWRD UW Equity,3.545,3.545,3.364,3.364,3.75,3.857,3.75,3.5,3.5,3.5,3.5,3.333
G UN Equity,3.8,3.714,3.615,3.615,3.714,3.714,3.571,3.714,4.385,4.385,4.333,4.333
GABC UW Equity,3.333,3,3,3,3,3,3,3,3.4,3.4,3,3
GAIA UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
GALT UR Equity,3,4,5,5,5,5,5,5,5,5,5,5
GATX UN Equity,3,3,3.25,3.25,3.5,3.667,3.5,3.5,3.5,3.333,3.4,3.5
GBCI UW Equity,3.286,3.286,3.286,3.286,3.286,3.286,3.286,3.286,3.25,3.25,3.25,3.286
GBL UN Equity,#N/A N/A,,,,,,,,,,,
GBLI UW Equity,#N/A N/A,,,,,,,,,,,
GBT UW Equity,4.8,4.8,4.818,4.846,4.733,4.714,4.733,4.733,4.75,4.733,4.75,4.647
GBX UN Equity,3.25,3.75,4,4,4.111,4.111,4,4.1,3.5,3.375,3.143,3.333
GCAP UN Equity,3.5,3.5,3.5,3.5,3.5,3.667,3.5,3.5,3.5,3.5,4.2,4.2
GCBC UR Equity,#N/A N/A,,,,,,,,,,,
GCI UN Equity,3,3.5,3.5,3.667,3.667,3,3,3,3,3,5,2.333
GCO UN Equity,3.4,3.778,3.667,3.75,3.889,3.5,3.5,3.286,3,3,3.5,3.6
GCP UN Equity,4.5,5,5,4.6,4.6,4.6,4.2,3.333,3.333,3.333,3.4,3.4
GD UN Equity,4.455,4.364,4.217,4.217,4.333,4.273,4.13,4.143,3.87,4,3.909,3.909
GDDY UN Equity,4.5,4.462,4.533,4.353,4.471,4.471,4.471,4.688,4.563,4.533,4.533,4.5
GDEN UQ Equity,5,4,5,5,5,5,5,5,5,5,5,5
GDI UN Equity,#N/A N/A,4.8,4.818,5,4.727,4.8,4.455,4.4,4.455,4.2,4.2,3.909
GDOT UN Equity,4,3.875,4.125,4.067,4.125,4.067,4.143,4.2,4.429,4,3.8,3.571
GDP UA Equity,5,5,5,5,5,5,5,4.778,4.778,4.778,4.75,4.714
GE UN Equity,4.217,4.091,4,3.5,3.2,3.273,3.273,3.696,3.727,3.5,3.48,3.48
GEF UN Equity,3.857,3.857,3.571,3.857,4.143,4.143,3.857,3,2.714,2.714,2.333,2.429
GEF/B UN Equity,#N/A N/A,,,,,,,,,,,
GEN UN Equity,2.5,2.5,3,3,3,3,3,3,3,3,3,3
GENC UQ Equity,#N/A N/A,,,,,,,,,,,
GEO UN Equity,4,4,4,4,4,4.333,4.333,4.333,4,4,3,3
GEOS UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
GERN UW Equity,4,4,3.667,3.667,3.667,3,4,3,4.333,5,5,5
GES UN Equity,3.222,3.333,3.667,3.333,3.667,3.667,3.667,3.667,4,4.2,4.2,4.6
GFF UN Equity,4,4,4,4,4.5,4.5,3.75,3.167,3.75,3.75,4,4
GFN UQ Equity,4,4,4,4,4,4,4,4,4,4,4,4
GGG UN Equity,3.143,3.143,3,3,3.167,3.167,3.167,3,3,3,3,2.8
GH UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.6,4.6,5,5,5
GHC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1,1,1,1,1,1,1,1
GHL UN Equity,2.222,2.667,2.667,2.222,2.222,2,2.143,2.429,2.5,2.5,2.667,2.667
GHM UN Equity,4,4,4,5,5,5,5,5,5,5,5,5
GIII UW Equity,3.857,3.667,4,3.75,3.75,4.4,4.4,4.8,4.8,4.778,4,4.091
GILD UW Equity,4.067,4,4.071,3.903,4.133,4.31,4.241,4.172,4.097,4.133,4.172,4
GIS UN Equity,2.81,2.727,2.909,3,3.318,3.318,3.333,3.35,3.5,3.381,3.211,3.286
GKOS UN Equity,4.8,5,5,5,5,4.5,4.333,4.333,4.2,4.2,3.8,3.444
GL UN Equity,2.091,2,2,2.111,2.273,2.4,2.2,2.2,2.333,2.333,2.6,2.778
GLDD UW Equity,3,3,3,3,4,4,4,4,4.5,4.5,4.5,4.5
GLIBA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,4.6,4.667,4.667,4.667,4.5,4.6,5
GLNG UW Equity,4.762,4.737,4.667,4.778,4.765,4.765,4.765,4.905,4.909,4.9,4.895,4.636
GLOG UN Equity,4.647,4.778,4.529,4.412,4.067,4.067,4.4,4.563,4.471,4.786,5,4.833
GLPI UW Equity,3.462,3.571,3.5,3.727,3.833,3.909,4.167,4.077,4.077,4.231,4.286,4.333
GLRE UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
GLT UN Equity,3.5,4,4,4,4,4.5,4.5,4.333,4.333,4.333,4.333,5
GLUU UW Equity,3.857,3.857,4,4.6,4.6,4.667,4.667,4.333,4.429,4.714,5,5
GLW UN Equity,3.474,3.5,3.412,3.438,3.643,3.867,4,3.929,3.846,4,3.857,3.714
GLYC UQ Equity,5,5,5,5,5,5,5,5,5,5,4.2,4.333
GM UN Equity,3.769,3.714,3.741,3.769,3.72,4.043,4,4.167,4.25,4.25,4.455,4.455
GME UN Equity,3.714,3.714,3.615,3.5,3.333,3.182,3.364,3.545,2.818,2.8,2.636,2.6
GMED UN Equity,3.462,3.615,3.667,3.769,3.923,4.091,4.091,4.077,4.077,3.923,3.923,4.077
GMRE UN Equity,4.6,4.5,4.6,4.6,5,4.667,4.667,4.667,4.6,4.667,4.667,4.667
GMS UN Equity,4.5,4.5,4.75,4.556,4.8,4.8,4.6,4.6,4.6,4.4,4.4,4.333
GNC UN Equity,2.4,2.4,2.4,2.5,2.2,2.333,2.5,3,3,3.667,3.667,4
GNE UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3
GNK UN Equity,4,4.333,4.5,4.556,4.6,4.8,4.8,4.818,4.833,5,5,5
GNL UN Equity,3,3,3,3,3,3,3,3,3.667,3.667,3.5,3.8
GNLN UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.8,4.8,4.8
GNMK UQ Equity,5,5,5,4.75,4.75,5,5,5,5,5,5,4.714
GNRC UN Equity,3.545,3.364,3.667,3.545,3.727,3.8,3.6,3.6,3.4,3.444,3.667,3.444
GNTX UW Equity,3.75,3.5,3.5,3.5,3.333,3.364,3.364,3.308,3,2.6,2.556,2.8
GNTY UW Equity,#N/A N/A,3,3,3,3,3,3,4,4,3.667,3.667,3.667
GNW UN Equity,3.4,3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3
GO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.8,3.889
GOGO UW Equity,4,4.111,3.8,3.667,3.25,3,2.333,2.333,2.429,3.25,3.571,3.571
GOLF UN Equity,4.333,4.286,3.857,3.923,3.833,3.909,3.727,3.727,3.667,3.833,3.727,3.364
GOOD UW Equity,4,3,3.667,4,4.2,4,4.333,4.333,4.333,4.2,4.2,4.333
GOOG UW Equity,4.667,4.818,4.833,4.833,4.692,4.571,4.538,4.75,4.75,4.733,4.875,4.875
GOOGL UW Equity,4.702,4.571,4.667,4.667,4.619,4.7,4.707,4.762,4.8,4.721,4.682,4.733
GORO UA Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
GOSS UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
GPC UN Equity,3,3,3,2.846,3,2.818,2.833,2.818,3.182,3.333,3.308,3.143
GPI UN Equity,3,3,3.308,3,3,3,3.444,4.111,4.333,4.111,4,4
GPK UN Equity,4.455,4.455,4.5,4.692,4.692,4.714,4.714,4.714,4.6,4.5,4.5,4.6
GPMT UN Equity,#N/A N/A,#N/A N/A,3.75,4.4,4.286,4.286,4,3.714,3.5,3.6,3.6,3.6
GPN UN Equity,4.3,4.364,4.4,4.457,4.594,4.469,4.441,4.5,4.457,4.375,4.516,4.516
GPOR UW Equity,4.433,4.464,4.321,4.179,4.074,4.107,4.042,3.92,3.917,3.818,3.545,3.381
GPRE UW Equity,4.75,4.778,4.778,5,5,4.714,4.714,5,5,5,5,4.667
GPRO UW Equity,2.263,2.25,2.833,3,2.455,2.333,2.75,3,3,3,3,3
GPS UN Equity,2.742,2.857,3.069,3.077,2.92,3,3.231,3.154,2.923,3,3,2.68
GPX UN Equity,4.333,4.333,4.333,4.333,5,5,5,5,5,5,4.5,4.5
GRA UN Equity,4.583,4.357,4.385,4.5,4.538,4.833,4.833,4.833,4.846,4.692,4.833,4.833
GRBK UR Equity,3,3,3,3,3.5,3.5,4,3.75,3.833,4,4.25,3.75
GRC UN Equity,3,3,3,3,5,5,5,5,5,5,5,3
GRIF UQ Equity,#N/A N/A,,,,,,,,,,,
GRMN UW Equity,2.714,2.733,2.867,2.867,2.846,2.818,2.8,2.8,2.4,2.8,2.6,2.6
GRPN UW Equity,3,3,2.889,3,3.105,3.211,3.111,3.235,3.4,3.429,3.333,3
GRTS UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.714,4.714,4.75,4.75
GRTX UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5
GRUB UN Equity,4.16,4.16,4.32,4.16,3.852,3.724,3.679,3.929,4.138,4.182,4.281,3.313
GS UN Equity,3.733,3.793,3.655,3.69,3.69,3.75,3.966,3.786,3.571,3.741,3.654,3.731
GSBC UW Equity,3.5,3.5,3.5,3,3,3,3,3,3,3,3,3
GSHD UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.5,4.5,4.5,4.6,4.6,4.667
GSIT UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
GT UW Equity,4.2,4.818,4.636,4.273,4.091,4.2,3.667,3.727,3.364,3.5,3.889,3.909
GTES UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.6,4.6,4.6,4.4,4.4,4.556,4.5,4.111
GTHX UW Equity,#N/A N/A,5,5,5,5,5,5,5,4.75,4.75,5,5
GTLS UW Equity,3.545,3.545,3.545,3.909,4.333,4.5,4.5,4.75,4.5,4.556,4.636,4.692
GTN UN Equity,5,5,5,5,5,5,5,5,5,5,5,5
GTS UN Equity,2,2,3,3,3,3,3,3,3,3,3,3
GTT UN Equity,5,5,5,5,4.556,4.8,4.455,4.4,4.4,4.273,3.6,3.4
GTY UN Equity,2,2,3,3,3,3.4,3.667,3.667,3.667,3.667,3.667,3.667
GTYH UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4
GVA UN Equity,4.636,4.818,4.818,4.8,4.778,5,5,4.75,4.75,5,4.2,3.8
GWB UN Equity,4.75,4.6,4.6,4.4,4.4,4.4,4.556,4.556,4.556,4.556,4.5,4.143
GWGH UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
GWRE UN Equity,4,4.333,4.273,4.455,4.455,4.4,4.167,4.167,4,4.091,4,4
GWRS UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
GWW UN Equity,2.909,2.565,2.583,2.75,3.091,3.095,3,2.913,2.917,2.818,2.7,2.9
H UN Equity,3.238,3.227,3.318,3.714,3.85,3.81,3.762,3.727,3.476,3.4,3.5,3.4
HA UW Equity,3.364,3.182,3.333,3.5,3.5,3.333,3.5,3.154,2.846,3,2.273,2.4
HABT UQ Equity,4.778,4.75,4.25,3.889,3.889,3.75,3.75,4,4,4,4,4
HAE UN Equity,3,3,3.333,3.333,3.778,3.778,3.778,3.778,3.875,4.222,4.375,4.375
HAFC UW Equity,4,3.8,3.8,3.8,3.8,4.2,4.2,3.8,3.4,3.4,3,3
HAIN UW Equity,3.524,3.611,3.526,3.5,3.6,3.667,3.667,3.667,3.632,3.5,3.316,3.235
HAL UN Equity,4.692,4.59,4.641,4.632,4.667,4.697,4.688,4.765,4.714,4.636,4.548,4.419
HALL UQ Equity,3,3,3,3,3,3,4,4,4,5,5,5
HALO UW Equity,4.222,4.1,4.1,3.9,3.818,3.333,3.5,3.455,3.5,3.5,3.5,3.7
HARP UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
HAS UW Equity,3.333,3.714,3.8,4,4.176,4.125,4,4.176,4.25,4,4.2,4.375
HASI UN Equity,4.8,4.75,4.714,4.667,4.714,4.75,4.75,4.5,4.333,4.333,4.333,4.333
HAYN UW Equity,3.5,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
HBAN UW Equity,3.815,3.889,4.107,4.074,4.037,4,4.04,3.87,3.783,3.8,3.478,3.182
HBB UN Equity,#N/A N/A,#N/A N/A,3,3.333,4,3.333,3.333,3,3,3,3,3
HBCP UW Equity,4.333,4.333,3.667,3,3,3,3,3,3,3,3.667,3.5
HBI UN Equity,4.5,4.5,4.412,4.125,4.059,4,3.941,3.941,3.75,3.714,3.769,3.615
HBMD UR Equity,4,4,5,5,5,4.333,3.667,3.667,3,3,3,3
HBNC UW Equity,4.667,4.667,4.667,4.667,4.667,4.667,4.667,4.667,4.667,4.667,4.667,5
HBT UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333
HCA UN Equity,4.455,4.52,4.429,4.417,4.154,4.12,4.154,4.154,4.214,4.286,4.538,4.615
HCAT UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
HCC UN Equity,#N/A N/A,4.25,3.8,3.4,3.8,3.8,3.8,4,4.167,4.2,4,4.25
HCCI UW Equity,5,5,4.667,4.667,4.667,4.667,5,5,4.667,4.6,4.6,4.6
HCI UN Equity,3.333,3.75,4.25,4.25,4.25,4.25,4.25,3.75,4.25,4.25,4,4
